date,views,likes,comments,dislikes,shares,subscribersLost,subscribersGained,estimatedMinutesWatched
2021-06-16,33,0,0,0,0,0,0,16
2021-06-19,8,0,0,0,0,0,0,5
2021-06-25,17,0,0,0,0,0,0,33
2021-07-07,90,0,0,0,0,0,0,115
2021-07-09,78,0,1,0,0,0,0,76
2021-07-10,73,0,0,0,0,0,0,100
2021-07-12,113,0,1,0,0,1,0,121
2021-07-24,41,0,1,0,0,0,0,56
2021-07-25,50,0,0,0,0,0,0,46
2021-09-04,102,0,0,0,0,0,0,165
2021-09-15,90,0,0,0,0,0,0,106
2021-11-03,47,0,0,0,2,0,0,116
2021-12-05,10,0,0,0,1,0,0,32
2021-12-06,11,0,0,0,0,0,0,29
2021-12-28,141,0,0,0,0,0,0,122
2022-01-01,13,0,0,0,0,0,0,50
2022-01-03,20,0,0,0,0,1,0,70
2022-01-05,14,0,1,0,0,0,0,19
2022-01-06,17,0,0,0,0,0,0,28
2022-01-07,27,0,0,0,0,0,0,59
2022-02-05,102,0,0,0,0,0,0,83
2022-06-16,51,0,0,0,1,1,0,130
2022-06-18,27,0,0,0,0,0,0,55
2022-06-23,27,0,0,0,0,0,0,49
2022-06-24,15,0,0,0,0,0,0,17
2022-06-27,33,0,1,0,0,0,0,83
2022-06-28,38,0,0,0,0,0,0,97
2022-07-01,44,0,0,0,0,0,0,174
2022-07-04,26,0,0,0,1,0,0,54
2022-07-07,25,0,0,0,1,0,0,81
2022-07-08,14,0,0,0,0,2,0,50
2022-07-09,32,0,0,0,0,0,0,121
2022-07-13,31,0,0,0,0,0,0,91
2022-07-16,19,0,0,0,0,0,0,45
2022-07-17,32,0,0,0,0,0,0,68
2022-07-18,24,0,0,0,0,0,0,54
2022-07-22,29,0,1,0,0,0,0,113
2022-07-24,30,0,0,0,0,0,0,111
2022-07-31,23,0,0,0,0,0,0,90
2022-08-04,37,0,0,0,0,0,0,158
2022-08-09,43,0,0,0,0,0,0,131
2022-08-11,51,0,0,0,0,0,0,116
2022-08-17,48,0,0,0,0,0,0,127
2022-08-19,33,0,0,0,0,0,0,101
2022-08-20,37,0,0,0,0,0,0,103
2022-08-22,41,0,0,0,0,1,0,86
2022-08-30,50,0,0,0,0,0,0,157
2022-09-02,39,0,0,0,0,1,0,127
2022-09-10,30,0,0,0,0,0,0,80
2022-09-11,42,0,0,0,0,0,0,89
2022-09-17,42,0,0,0,0,0,0,74
2022-09-18,77,0,0,0,2,0,0,275
2022-09-19,44,0,0,0,0,0,0,96
2022-09-23,41,0,0,0,5,0,0,64
2021-06-17,43,1,0,0,0,0,0,65
2021-06-24,19,1,1,0,2,0,0,11
2021-06-30,16,1,0,0,0,0,0,4
2021-07-27,60,1,0,0,0,0,0,44
2021-07-30,67,1,0,0,1,0,0,70
2021-09-05,99,1,1,0,0,0,0,114
2021-09-17,102,1,0,0,0,0,0,91
2021-10-01,16,1,0,0,0,0,0,68
2021-11-02,39,1,0,0,1,1,0,77
2021-11-21,159,1,0,0,0,0,0,249
2021-12-17,142,1,0,1,0,0,0,214
2022-01-22,214,1,1,0,2,0,0,224
2022-02-04,38,1,0,0,0,0,0,28
2022-02-06,133,1,0,0,0,0,0,120
2022-03-04,163,1,0,0,1,0,0,270
2022-03-09,60,1,0,0,1,0,0,206
2022-05-02,172,1,0,0,0,0,0,476
2022-06-21,42,1,0,0,0,0,0,106
2022-07-06,35,1,0,0,0,0,0,79
2022-07-11,34,1,0,0,0,0,0,125
2022-07-12,36,1,0,0,1,0,0,83
2022-07-27,48,1,0,0,0,0,0,144
2022-07-30,36,1,0,0,0,1,0,228
2022-08-05,39,1,0,0,0,1,0,149
2022-08-07,47,1,0,0,0,0,0,172
2022-08-13,40,1,0,0,0,0,0,169
2022-08-15,66,1,0,0,1,0,0,207
2022-08-18,36,1,0,0,0,0,0,101
2022-08-21,44,1,0,0,1,0,0,112
2022-08-25,35,1,0,0,2,0,0,85
2022-08-26,66,1,0,0,0,0,0,193
2022-09-03,60,1,0,0,2,0,0,141
2022-09-05,65,1,0,0,0,0,0,206
2022-09-06,88,1,0,0,2,0,0,276
2022-09-09,36,1,0,0,1,0,0,98
2022-09-14,54,1,0,0,0,1,0,183
2022-09-22,62,1,0,0,0,1,0,167
2022-09-28,65,1,0,0,1,0,0,211
2022-09-29,68,1,0,0,1,0,0,169
2021-05-29,254,2,1,0,0,0,0,330
2021-06-01,119,2,1,0,0,0,0,269
2021-06-03,209,2,1,0,0,0,0,238
2021-06-29,22,2,1,0,0,0,0,75
2021-07-16,114,2,0,0,0,0,0,96
2021-08-12,136,2,0,0,2,0,0,166
2021-08-24,121,2,0,0,0,0,0,141
2021-09-01,45,2,0,0,0,0,0,71
2021-09-21,105,2,0,0,0,1,0,168
2021-09-24,116,2,0,0,1,0,0,151
2021-09-25,85,2,0,0,0,0,0,91
2021-10-17,176,2,0,0,0,0,0,230
2021-11-01,34,2,0,0,2,0,0,58
2021-11-06,155,2,0,1,0,0,0,186
2021-11-20,141,2,0,0,0,0,0,200
2021-12-27,142,2,0,0,0,1,0,116
2022-01-04,33,2,0,0,0,0,0,32
2022-03-18,161,2,0,0,1,0,0,221
2022-03-19,194,2,0,0,1,0,0,285
2022-05-06,112,2,0,0,0,0,0,362
2022-05-16,162,2,0,0,0,0,0,499
2022-06-22,26,2,0,0,0,0,0,52
2022-06-30,21,2,0,0,0,0,0,80
2022-07-05,41,2,0,0,0,1,0,113
2022-07-10,26,2,0,0,0,0,0,87
2022-07-15,32,2,0,0,0,0,0,123
2022-07-20,25,2,0,0,0,1,0,93
2022-07-21,37,2,0,0,0,0,0,124
2022-08-10,36,2,0,0,0,1,0,141
2022-08-24,39,2,0,0,0,0,0,112
2022-08-27,36,2,0,0,1,0,0,121
2022-09-16,42,2,0,0,0,0,0,93
2021-06-22,21,3,1,0,0,0,0,32
2021-06-27,18,3,2,0,0,1,0,60
2021-08-09,150,3,1,0,1,0,0,269
2021-09-12,106,3,1,0,0,0,0,140
2021-11-10,160,3,2,0,1,0,0,213
2021-12-07,162,3,1,0,0,0,0,154
2021-12-10,176,3,1,0,1,0,0,179
2022-02-09,280,3,0,0,0,0,0,344
