date,traffic_source,views,estimatedMinutesWatched
2021-03-13, EXT_URL,1,0
2021-03-17, EXT_URL,1,4
2021-03-18, EXT_URL,1,0
2021-03-28, EXT_URL,1,0
2021-04-20, EXT_URL,1,0
2021-04-22, EXT_URL,1,0
2021-04-27, EXT_URL,1,0
2021-05-03, EXT_URL,1,0
2021-05-05, EXT_URL,1,7
2021-05-11, EXT_URL,1,0
2021-05-15, EXT_URL,1,0
2021-05-20, EXT_URL,1,0
2021-05-23, EXT_URL,1,0
2021-05-28, EXT_URL,1,0
2021-06-05, EXT_URL,1,0
2021-06-08, EXT_URL,1,6
2021-06-15, EXT_URL,1,0
2021-06-24, EXT_URL,1,1
2021-06-26, EXT_URL,1,0
2021-06-30, EXT_URL,1,0
2021-07-01, EXT_URL,1,10
2021-07-02, EXT_URL,1,2
2021-07-04, EXT_URL,1,3
2021-07-08, EXT_URL,1,4
2021-07-15, EXT_URL,1,1
2021-07-18, EXT_URL,1,10
2021-07-21, EXT_URL,1,0
2021-07-22, EXT_URL,1,1
2021-07-27, EXT_URL,1,1
2021-08-01, EXT_URL,1,0
2021-08-02, EXT_URL,1,1
2021-08-03, EXT_URL,1,0
2021-08-12, EXT_URL,1,2
2021-08-14, EXT_URL,1,0
2021-08-18, EXT_URL,1,0
2021-08-19, EXT_URL,1,0
2021-08-22, EXT_URL,1,1
2021-09-02, EXT_URL,1,0
2021-09-04, EXT_URL,1,0
2021-09-05, EXT_URL,1,0
2021-09-09, EXT_URL,1,0
2021-09-11, EXT_URL,1,0
2021-09-13, EXT_URL,1,3
2021-09-14, EXT_URL,1,10
2021-09-19, EXT_URL,1,0
2021-09-21, EXT_URL,1,0
2021-09-28, EXT_URL,1,7
2021-10-02, EXT_URL,1,0
2021-10-03, EXT_URL,1,0
2021-10-05, EXT_URL,1,0
2021-10-10, EXT_URL,1,8
2021-10-12, EXT_URL,1,0
2021-10-15, EXT_URL,1,0
2021-10-17, EXT_URL,1,2
2021-10-24, EXT_URL,1,0
2021-11-12, EXT_URL,1,0
2021-11-15, EXT_URL,1,3
2021-11-21, EXT_URL,1,0
2021-11-29, EXT_URL,1,0
2021-12-12, EXT_URL,1,10
2021-12-19, EXT_URL,1,5
2021-12-21, EXT_URL,1,1
2021-12-24, EXT_URL,1,3
2022-01-03, EXT_URL,1,5
2022-01-09, EXT_URL,1,7
2022-01-12, EXT_URL,1,9
2022-01-21, EXT_URL,1,1
2022-02-02, EXT_URL,1,0
2022-02-03, EXT_URL,1,4
2022-02-04, EXT_URL,1,0
2022-02-11, EXT_URL,1,0
2022-02-13, EXT_URL,1,0
2022-02-25, EXT_URL,1,0
2022-03-04, EXT_URL,1,1
2022-03-05, EXT_URL,1,1
2022-03-14, EXT_URL,1,0
2022-03-29, EXT_URL,1,0
2022-04-05, EXT_URL,1,3
2022-04-10, EXT_URL,1,0
2022-04-12, EXT_URL,1,0
2022-04-15, EXT_URL,1,0
2022-04-16, EXT_URL,1,3
2022-05-06, EXT_URL,1,0
2022-05-13, EXT_URL,1,4
2022-06-17, EXT_URL,1,5
2022-06-22, EXT_URL,1,1
2022-06-24, EXT_URL,1,0
2022-06-29, EXT_URL,1,0
2022-06-30, EXT_URL,1,2
2022-07-04, EXT_URL,1,0
2022-07-05, EXT_URL,1,0
2022-07-06, EXT_URL,1,0
2022-07-08, EXT_URL,1,8
2022-07-10, EXT_URL,1,2
2022-07-15, EXT_URL,1,1
2022-07-16, EXT_URL,1,0
2022-07-17, EXT_URL,1,2
2022-07-18, EXT_URL,1,4
2022-07-20, EXT_URL,1,0
2022-07-22, EXT_URL,1,6
2022-07-24, EXT_URL,1,2
2022-07-26, EXT_URL,1,0
2022-08-03, EXT_URL,1,1
2022-08-06, EXT_URL,1,2
2022-08-07, EXT_URL,1,4
2022-08-12, EXT_URL,1,0
2022-08-19, EXT_URL,1,6
2022-08-20, EXT_URL,1,2
2022-08-27, EXT_URL,1,0
2022-08-30, EXT_URL,1,4
2022-09-08, EXT_URL,1,0
2021-03-15, EXT_URL,2,0
2021-03-29, EXT_URL,2,0
2021-04-14, EXT_URL,2,7
2021-04-17, EXT_URL,2,1
2021-04-23, EXT_URL,2,7
2021-04-24, EXT_URL,2,1
2021-04-29, EXT_URL,2,10
2021-05-06, EXT_URL,2,0
2021-05-09, EXT_URL,2,11
2021-05-10, EXT_URL,2,8
2021-05-13, EXT_URL,2,9
2021-05-18, EXT_URL,2,0
2021-05-19, EXT_URL,2,0
2021-05-26, EXT_URL,2,1
2021-05-29, EXT_URL,2,0
2021-06-06, EXT_URL,2,3
2021-06-14, EXT_URL,2,9
2021-06-18, EXT_URL,2,4
2021-07-03, EXT_URL,2,3
2021-08-04, EXT_URL,2,0
2021-08-27, EXT_URL,2,0
2021-09-23, EXT_URL,2,0
2021-10-01, EXT_URL,2,10
2021-10-04, EXT_URL,2,5
2021-10-07, EXT_URL,2,0
2021-10-09, EXT_URL,2,8
2021-10-19, EXT_URL,2,4
2021-10-21, EXT_URL,2,2
2021-10-23, EXT_URL,2,3
2021-11-03, EXT_URL,2,2
2021-11-04, EXT_URL,2,10
2021-11-11, EXT_URL,2,0
2021-11-13, EXT_URL,2,0
2021-11-24, EXT_URL,2,4
2021-11-25, EXT_URL,2,1
2021-11-27, EXT_URL,2,1
2021-12-05, EXT_URL,2,20
2021-12-06, EXT_URL,2,0
