video_id,country,date,views,likes,comments,dislikes,shares,subscribersLost,subscribersGained,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,annotationImpressions,annotationClicks,annotationClickThroughRate,cardImpressions,cardClicks,cardClickRate
DQvmA2RAcmc, AR,nan,,,,,,,,,,,,,,,,
PboUgvlmUzA, AR,nan,,,,,,,,,,,,,,,,
OWdoI99lWf0, AR,nan,,,,,,,,,,,,,,,,
2PHrk5Z7Ejw, AR,nan,,,,,,,,,,,,,,,,
 --R19y9CUYI, AR,nan,,,,,,,,,,,,,,,,
2jvHTDU2-MA, AR,nan,,,,,,,,,,,,,,,,
d1mUA8iH_x4, AR,nan,,,,,,,,,,,,,,,,
 -ZlYrCqNuVU, AR,nan,,,,,,,,,,,,,,,,
yQUNfBPn8bY, AR,nan,,,,,,,,,,,,,,,,
etNYC5RndbQ, AR,nan,,,,,,,,,,,,,,,,
1tOvl-vlOVA, AR,nan,,,,,,,,,,,,,,,,
2Vi8-QbLqWY, AR,nan,,,,,,,,,,,,,,,,
aA2RZWwq8aE, AR,nan,,,,,,,,,,,,,,,,
n3jAzKX6IO8, AR,nan,,,,,,,,,,,,,,,,
jpr5MnVQbhs, AR,nan,,,,,,,,,,,,,,,,
CJKOdzm2-5k, AR,nan,,,,,,,,,,,,,,,,
 --HLtgURT6Y, AR,nan,,,,,,,,,,,,,,,,
rdtXxrU1410, AR,nan,,,,,,,,,,,,,,,,
pwzlNnj_OD0, AR,nan,,,,,,,,,,,,,,,,
iICs2qe3OUw, AR,nan,,,,,,,,,,,,,,,,
z-eicVUxwPI, AR,nan,,,,,,,,,,,,,,,,
lDOlek5FIKE, AR,nan,,,,,,,,,,,,,,,,
TFcF_4lw9vQ, AR,nan,,,,,,,,,,,,,,,,
RefkvR_GCuc, AR,nan,,,,,,,,,,,,,,,,
uACPMlja1pY, AR,nan,,,,,,,,,,,,,,,,
ikayRX4LikI, AR,nan,,,,,,,,,,,,,,,,
1yVAqHAnyKA, AR,nan,,,,,,,,,,,,,,,,
k8mvBxZBp24, AR,nan,,,,,,,,,,,,,,,,
AVfEG0i0vBw, AR,nan,,,,,,,,,,,,,,,,
xDVpGojsxO4, AR,nan,,,,,,,,,,,,,,,,
aF2oebwDACM, AR,nan,,,,,,,,,,,,,,,,
KpBAEpvyBE8, AR,nan,,,,,,,,,,,,,,,,
RdK72Xpixqo, AR,nan,,,,,,,,,,,,,,,,
m4NjAiNogOU, AR,nan,,,,,,,,,,,,,,,,
4uPx3w_9eQI, AR,nan,,,,,,,,,,,,,,,,
H28VaUHVdCg, AR,nan,,,,,,,,,,,,,,,,
iC5YUht8t7c, AR,nan,,,,,,,,,,,,,,,,
gNM1WQFRXGo, AR,nan,,,,,,,,,,,,,,,,
D83mcszifig, AR,nan,,,,,,,,,,,,,,,,
CWFtrv648HQ, AR,nan,,,,,,,,,,,,,,,,
kusi3Ll-5ig, AR,nan,,,,,,,,,,,,,,,,
x8hhcWdi1IU, AR,nan,,,,,,,,,,,,,,,,
TZJFtRsbhdQ, AR,nan,,,,,,,,,,,,,,,,
WlqHlB4NN_s, AR,nan,,,,,,,,,,,,,,,,
eJRwas1X3ng, AR,nan,,,,,,,,,,,,,,,,
1NQ7NXQnfVg, AR,nan,,,,,,,,,,,,,,,,
uv6opP9qyMQ, AR,nan,,,,,,,,,,,,,,,,
GOEvDi2dZxM, AR,nan,,,,,,,,,,,,,,,,
w2GDovVH8r4, AR,nan,,,,,,,,,,,,,,,,
b40cPvh0B4U, AR,nan,,,,,,,,,,,,,,,,
_HfrxE42db8, AR,nan,,,,,,,,,,,,,,,,
plxFXV4Kb6E, AR,nan,,,,,,,,,,,,,,,,
rtIUkKKYBFo, AR,nan,,,,,,,,,,,,,,,,
yd7IDAi0N_U, AR,nan,,,,,,,,,,,,,,,,
pe8bufiZOYk, AR,nan,,,,,,,,,,,,,,,,
8na3gaOQDxE, AR,nan,,,,,,,,,,,,,,,,
J-BFIpS3IqQ, AR,nan,,,,,,,,,,,,,,,,
uie7921T8e8, AR,nan,,,,,,,,,,,,,,,,
_68Z9O8x3ug, AR,nan,,,,,,,,,,,,,,,,
heRtBQTUnbs, AR,nan,,,,,,,,,,,,,,,,
9v3Mgozs9Ww, AR,nan,,,,,,,,,,,,,,,,
Ny8dQJmCEYg, AR,nan,,,,,,,,,,,,,,,,
F0-wOJaETvM, AR,nan,,,,,,,,,,,,,,,,
3Xx5WNy8Soo, AR,nan,,,,,,,,,,,,,,,,
GoQ9zskHmEI, AR,nan,,,,,,,,,,,,,,,,
7M-mu04Qv3A, AR,nan,,,,,,,,,,,,,,,,
JETtmJtLu8M, AR,nan,,,,,,,,,,,,,,,,
H_BFLyBoD_c, AR,nan,,,,,,,,,,,,,,,,
8DGFc7Lo1qk, AR,nan,,,,,,,,,,,,,,,,
TOP-GMW8sVk, AR,nan,,,,,,,,,,,,,,,,
HysKO5gRp1s, AR,nan,,,,,,,,,,,,,,,,
jHUE2EtISQk, AR,nan,,,,,,,,,,,,,,,,
EU5S2DCaVaA, AR,nan,,,,,,,,,,,,,,,,
VOeGcJwwRcQ, AR,nan,,,,,,,,,,,,,,,,
FEH1Hf648lM, AR,nan,,,,,,,,,,,,,,,,
zNMEiJ8LD9E, AR,nan,,,,,,,,,,,,,,,,
4lbHgPlJ6ow, AR,nan,,,,,,,,,,,,,,,,
4podMOggZhE, AR,nan,,,,,,,,,,,,,,,,
X-r2R7SaMpo, AR,nan,,,,,,,,,,,,,,,,
7lqwa6dGcuo, AR,nan,,,,,,,,,,,,,,,,
ZZM59xtHBXM, AR,nan,,,,,,,,,,,,,,,,
pPYKsN1g49c, AR,nan,,,,,,,,,,,,,,,,
k0UZwGPugNc, AR,nan,,,,,,,,,,,,,,,,
PPLdl7mIMcQ, AR,nan,,,,,,,,,,,,,,,,
h3b6jrQ_nRM, AR,nan,,,,,,,,,,,,,,,,
IUhOD0elA4o, AR,nan,,,,,,,,,,,,,,,,
7ktuzeAd7O0, AR,nan,,,,,,,,,,,,,,,,
g0sruJ3lmFg, AR,nan,,,,,,,,,,,,,,,,
S1J8N6UKjJw, AR,nan,,,,,,,,,,,,,,,,
Ezz3eD6zl0g, AR,nan,,,,,,,,,,,,,,,,
XaRsgGR_c7Y, AR,nan,,,,,,,,,,,,,,,,
mlIJLqGqCiU, AR,nan,,,,,,,,,,,,,,,,
c8ylwZj_PKU, AR,nan,,,,,,,,,,,,,,,,
JcQsX7f5k3k, AR,nan,,,,,,,,,,,,,,,,
fojHrYjXEEc, AR,nan,,,,,,,,,,,,,,,,
LcEDF8B7ujs, AR,nan,,,,,,,,,,,,,,,,
IbxvZXOhpCE, AR,nan,,,,,,,,,,,,,,,,
PWSkHW17H_A, AR,nan,,,,,,,,,,,,,,,,
KIzpWpFtUbo, AR,nan,,,,,,,,,,,,,,,,
1XUfJnEKYC8, AR,nan,,,,,,,,,,,,,,,,
K5f4fL9r2Zo, AR,nan,,,,,,,,,,,,,,,,
pjy1Vh2webM, AR,nan,,,,,,,,,,,,,,,,
ffwAULja2no, AR,nan,,,,,,,,,,,,,,,,
