video_id,publish_date,url,original_title,original_description,grade_es,grade_en,topic_es,topic_en,unit_name_es,unit_name_en,emoji
oD04M7jB75s,3/8/2021,https://youtu.be/oD04M7jB75s,👉 ¿Qué es la ENTALPÍA? - *con Ejemplo Práctico* - Química 2º Bachillerato - [Selectividad 2022],"Supera tu Examen de Selectividad con NOTA 👇

►Vídeos de TERMODINÁMICA: https://www.youtube.com/playlist?list=PL4-4wRXS1MimgzS63Z5qZel1rFbBAz-3K

►Temario de 2º Bachillerato para SELECTIVIDAD: https://youtube.com/playlist?list=PL4-4wRXS1MimTlhuKGAcqCdxkYcXfcxHl

★¿TIENES DUDAS?★
Déjame el ejercicio en los comentarios y haré un vídeo para resolverlo.",2 Bachillerato,Grade 12th,Termodinámica,Thermodynamics,Entalpía,Entalphy,yes
XmANT27gskA,3/9/2021,https://youtu.be/XmANT27gskA,Variación de la ENERGÍA INTERNA - *con Ejercicio* - Química 2º Bachillerato - [Selectividad 2022],"Supera tu Examen de Selectividad con NOTA 👇

►Vídeos de TERMODINÁMICA: https://www.youtube.com/playlist?list=PL4-4wRXS1MimgzS63Z5qZel1rFbBAz-3K

►Temario de 2º Bachillerato para SELECTIVIDAD: https://youtube.com/playlist?list=PL4-4wRXS1MimTlhuKGAcqCdxkYcXfcxHl

★¿TIENES DUDAS?★
Déjame el ejercicio en los comentarios y haré un vídeo para resolverlo.",2 Bachillerato,Grade 12th,Termodinámica,Thermodynamics,Variación de la energía interna ,Inner energy variation,no
2ejTm4wHH5Y,3/10/2021,https://youtu.be/2ejTm4wHH5Y,Aprende cómo calcular la ENTALPÍA de FORMACIÓN 📗 - Química 2º Bachillerato - [Selectividad 2022],"Supera tu Examen de Selectividad con NOTA 👇

►Vídeos de TERMODINÁMICA: https://www.youtube.com/playlist?list=PL4-4wRXS1MimgzS63Z5qZel1rFbBAz-3K

►Temario de 2º Bachillerato para SELECTIVIDAD: https://youtube.com/playlist?list=PL4-4wRXS1MimTlhuKGAcqCdxkYcXfcxHl

★¿TIENES DUDAS?★
Déjame el ejercicio en los comentarios y haré un vídeo para resolverlo.",2 Bachillerato,Grade 12th,Termodinámica,Thermodynamics,Entalpía de formación,Formation enthalpy,yes
XUYYSUHle00,3/11/2021,https://youtu.be/XUYYSUHle00,🔗ENTALPÍA de ENLACE - *con Ejercicio Resuelto* - Química 2º Bachillerato - [Selectividad 2022],"Supera tu Examen de Selectividad con NOTA 👇

►Vídeos de TERMODINÁMICA: https://www.youtube.com/playlist?list=PL4-4wRXS1MimgzS63Z5qZel1rFbBAz-3K

►Temario de 2º Bachillerato para SELECTIVIDAD: https://youtube.com/playlist?list=PL4-4wRXS1MimTlhuKGAcqCdxkYcXfcxHl

★¿TIENES DUDAS?★
Déjame el ejercicio en los comentarios y haré un vídeo para resolverlo.",2 Bachillerato,Grade 12th,Termodinámica,Thermodynamics,Entalpía de enlace,Bond enthalpy,yes
bSQSDuC3shQ,3/12/2021,https://youtu.be/bSQSDuC3shQ,El CALOR ESPECÍFICO en Termodinámica 🔥 - Química 2º Bachillerato - [Selectividad 2022],"Supera tu Examen de Selectividad con NOTA 👇

►Vídeos de TERMODINÁMICA: https://www.youtube.com/playlist?list=PL4-4wRXS1MimgzS63Z5qZel1rFbBAz-3K

►Temario de 2º Bachillerato para SELECTIVIDAD: https://youtube.com/playlist?list=PL4-4wRXS1MimTlhuKGAcqCdxkYcXfcxHl

★¿TIENES DUDAS?★
Déjame el ejercicio en los comentarios y haré un vídeo para resolverlo.",2 Bachillerato,Grade 12th,Termodinámica,Thermodynamics,Calor específico,Specific heat,yes
rTPwC47p3jo,3/13/2021,https://youtu.be/rTPwC47p3jo,LEY de HESS - *con Explicación y Ejercicio* - Química 2º Bachillerato - [Selectividad 2022],"Supera tu Examen de Selectividad con NOTA 👇

►Vídeos de TERMODINÁMICA: https://www.youtube.com/playlist?list=PL4-4wRXS1MimgzS63Z5qZel1rFbBAz-3K

►Temario de 2º Bachillerato para SELECTIVIDAD: https://youtube.com/playlist?list=PL4-4wRXS1MimTlhuKGAcqCdxkYcXfcxHl

★¿TIENES DUDAS?★
Déjame el ejercicio en los comentarios y haré un vídeo para resolverlo.",2 Bachillerato,Grade 12th,Termodinámica,Thermodynamics,Ley de hess ,Hess' law,no
IsH_2SY7sEw,3/14/2021,https://youtu.be/IsH_2SY7sEw,La ENTROPÍA y la Energía Libre de GIBBS (I) - Química 2º Bachillerato - [Selectividad 2022],"Supera tu Examen de Selectividad con NOTA 👇

►Vídeos de TERMODINÁMICA: https://www.youtube.com/playlist?list=PL4-4wRXS1MimgzS63Z5qZel1rFbBAz-3K

►Temario de 2º Bachillerato para SELECTIVIDAD: https://youtube.com/playlist?list=PL4-4wRXS1MimTlhuKGAcqCdxkYcXfcxHl

★¿TIENES DUDAS?★
Déjame el ejercicio en los comentarios y haré un vídeo para resolverlo.",2 Bachillerato,Grade 12th,Termodinámica,Thermodynamics,Entropía y energía libre de Gibbs,Entropy and Gibbs energy,no
1azOc4CfzQs,3/15/2021,https://youtu.be/1azOc4CfzQs,La ENTROPÍA y la Energía Libre de GIBBS (II) - Química 2º Bachillerato - [Selectividad 2022],"Supera tu Examen de Selectividad con NOTA 👇

►Vídeos de TERMODINÁMICA: https://www.youtube.com/playlist?list=PL4-4wRXS1MimgzS63Z5qZel1rFbBAz-3K

►Temario de 2º Bachillerato para SELECTIVIDAD: https://youtube.com/playlist?list=PL4-4wRXS1MimTlhuKGAcqCdxkYcXfcxHl

★¿TIENES DUDAS?★
Déjame el ejercicio en los comentarios y haré un vídeo para resolverlo.",2 Bachillerato,Grade 12th,Termodinámica,Thermodynamics,Entropía y energía libre de Gibbs,Entropy and Gibbs energy,no
xWuYCOg1mQY,3/16/2021,https://youtu.be/xWuYCOg1mQY,DIAGRAMA de FASES de dióxido de carbono y agua 📈 - Química 2º Bachillerato - [Selectividad 2022],"Supera tu Examen de Selectividad con NOTA 👇

►Vídeos de TERMODINÁMICA: https://www.youtube.com/playlist?list=PL4-4wRXS1MimgzS63Z5qZel1rFbBAz-3K

►Temario de 2º Bachillerato para SELECTIVIDAD: https://youtube.com/playlist?list=PL4-4wRXS1MimTlhuKGAcqCdxkYcXfcxHl

★¿TIENES DUDAS?★
Déjame el ejercicio en los comentarios y haré un vídeo para resolverlo.",2 Bachillerato,Grade 12th,Termodinámica,Thermodynamics,Diagrama de fases ,Phases diagram,yes
1hdC-uJc9p0,3/17/2021,https://youtu.be/1hdC-uJc9p0,⚛️ Teoría de COLISIONES y VELOCIDAD de la Reacción - Química 2º Bachillerato - [Selectividad 2022],"La TEORÍA de las COLISIONES se utiliza para medir la velocidad de una reacción. 

Supera tu Examen de Selectividad con NOTA 👇

►Vídeos de CINÉTICA: https://www.youtube.com/playlist?list=PL4-4wRXS1MinEch-yDUpryF7UjfOVKL3E

►Temario de 2º Bachillerato para SELECTIVIDAD: https://youtube.com/playlist?list=PL4-4wRXS1MimTlhuKGAcqCdxkYcXfcxHl

★¿TIENES DUDAS?★
Déjame el ejercicio en los comentarios y haré un vídeo para resolverlo.

¡Hasta pronto!",2 Bachillerato,Grade 12th,Cinética,Kinetic,Teoría de colisiones y velocidad de la reacción ,Collisions theory and speed reaction,yes
